fecha,departamento,codigo_departamento,municipio,codigo_municipio,poblacion,casos
2021/03/05,GUATEMALA,01,GUATEMALA,0101,1205668,95
2021/03/06,GUATEMALA,01,GUATEMALA,0101,1205668,67
2021/03/07,GUATEMALA,01,GUATEMALA,0101,1205668,39
2021/03/08,GUATEMALA,01,GUATEMALA,0101,1205668,155
2021/03/09,GUATEMALA,01,GUATEMALA,0101,1205668,137
2021/03/10,GUATEMALA,01,GUATEMALA,0101,1205668,160
2021/03/11,GUATEMALA,01,GUATEMALA,0101,1205668,182
2021/03/12,GUATEMALA,01,GUATEMALA,0101,1205668,122
2021/03/13,GUATEMALA,01,GUATEMALA,0101,1205668,29
2021/03/14,GUATEMALA,01,GUATEMALA,0101,1205668,13
2021/03/15,GUATEMALA,01,GUATEMALA,0101,1205668,159
2021/03/16,GUATEMALA,01,GUATEMALA,0101,1205668,163
2021/03/17,GUATEMALA,01,GUATEMALA,0101,1205668,179
2021/03/18,GUATEMALA,01,GUATEMALA,0101,1205668,142
2021/03/19,GUATEMALA,01,GUATEMALA,0101,1205668,143
2021/03/20,GUATEMALA,01,GUATEMALA,0101,1205668,60
2021/03/21,GUATEMALA,01,GUATEMALA,0101,1205668,29
2021/03/22,GUATEMALA,01,GUATEMALA,0101,1205668,168
2021/03/23,GUATEMALA,01,GUATEMALA,0101,1205668,191
2021/03/24,GUATEMALA,01,GUATEMALA,0101,1205668,164
2021/03/25,GUATEMALA,01,GUATEMALA,0101,1205668,178
